price,price_clean,f_property_type,f_neighbourhood_cleansed,n_bathrooms,n_accommodates,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_maximum_nights,n_days_since,n_dist_to_grand_palace,id,n_accommodates2,n_dist_to_grand_palace2,ln_accommodates,ln_accommodates2,ln_beds,ln_number_of_reviews,f_number_of_reviews,f_minimum_nights,flag_days_since,flag_review_scores_rating,flag_reviews_per_month,flag_n_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating
1400.0,1400.0,Entire rental unit,Khlong Toei,1.0,2,4.77,0,0.57,30,1.0,730,1298.0,9.179147817395368,959254,4,84.25675465359414,0.6931471805599453,0.4804530139182014,0.0,0.0,0,3,1,1,1,0,7.1693500166706,51.39957966153473,368.50157730328584,1684804.0,2186875592.0,1.5623463049002497
3082.0,3082.0,Entire rental unit,Ratchathewi,2.0,3,4.77,0,0.57,1,2.0,1125,1298.0,4.514490332777675,969792,9,20.380622964743083,1.0986122886681098,1.206948960812582,0.6931471805599453,0.0,0,1,1,1,1,0,7.1693500166706,51.39957966153473,368.50157730328584,1684804.0,2186875592.0,1.5623463049002497
910.0,910.0,Entire rental unit,Din Daeng,1.0,2,2.5,3,0.02,2,1.0,365,3786.0,9.500560944877272,59221,4,90.26065826732732,0.6931471805599453,0.4804530139182014,0.0,1.3862943611198906,1,2,0,0,0,0,8.239329427901795,67.88654942148852,559.33964440718,14333796.0,54267751656.0,0.9162907318741551
1400.0,1400.0,Entire rental unit,Phaya Thai,1.0,2,4.7,90,0.77,15,1.0,365,3528.0,6.422382327800524,976690,4,41.24699476444448,0.6931471805599453,0.4804530139182014,0.0,4.51085950651685,2,3,0,0,0,0,8.16876982367527,66.7288004321877,545.0922113405042,12446784.0,43912253952.0,1.547562508716013
1461.0,1461.0,Entire rental unit,Chatu Chak,1.0,2,4.77,0,0.57,1,1.0,1125,1298.0,12.00710608347437,1738669,4,144.17059649980723,0.6931471805599453,0.4804530139182014,0.0,0.0,0,1,1,1,1,0,7.1693500166706,51.39957966153473,368.50157730328584,1684804.0,2186875592.0,1.5623463049002497
1558.0,1558.0,Entire rental unit,Chatu Chak,1.0,3,4.5,10,0.09,3,1.0,1125,3353.0,10.812558104774164,1744248,9,116.91141276911745,1.0986122886681098,1.206948960812582,0.0,2.3978952727983707,1,3,0,0,0,0,8.117908942383155,65.90044559682438,534.9738166174952,11242609.0,37696467977.0,1.5040773967762742
1893.0,1893.0,Entire rental unit,Phaya Thai,2.0,4,4.76,129,1.17,15,2.0,1125,3310.0,6.2008083383333785,1765918,16,38.45002404874476,1.3862943611198906,1.9218120556728056,0.6931471805599453,4.867534450455582,2,3,0,0,0,0,8.105005537547246,65.69111476367152,532.4268489272093,10956100.0,36264691000.0,1.5602476682433286
5680.0,5680.0,Entire rental unit,Khlong Toei,3.5,5,4.77,148,1.08,28,3.0,365,4103.0,7.98287236833241,105042,25,63.7262512490851,1.6094379124341003,2.5902903939802346,1.0986122886681098,5.003946305945459,2,3,0,0,0,0,8.319717386850606,69.21769739706427,575.8716805121195,16834609.0,69072400727.0,1.5623463049002497
1577.0,1577.0,Entire rental unit,Khlong Toei,1.0,3,4.84,78,0.78,30,1.0,1125,3010.0,12.635462352997068,1791481,9,159.65490887400622,1.0986122886681098,1.206948960812582,0.0,4.3694478524670215,2,3,0,0,0,0,8.010027528481734,64.16054100703519,513.9276997086331,9060100.0,27270901000.0,1.5769147207285403
5034.0,5034.0,Entire rental unit,Vadhana,2.0,5,4.85,287,2.59,21,4.0,1125,3328.0,7.601638111552554,1793000,25,57.78490197900828,1.6094379124341003,2.5902903939802346,1.3862943611198906,5.662960480135946,2,3,0,0,0,0,8.110427237575024,65.77902997599884,533.4960363786049,11075584.0,36859543552.0,1.5789787049493917
5429.0,5429.0,Entire rental unit,Sathon,2.0,3,3.0,3,0.03,2,2.0,365,2912.0,5.863320367075327,978531,9,34.378525726960355,1.0986122886681098,1.206948960812582,0.6931471805599453,1.3862943611198906,1,2,0,0,0,0,7.976938756959434,63.631551932281525,507.5849927740935,8479744.0,24693014528.0,1.0986122886681098
1870.0,1870.0,Entire rental unit,Vadhana,1.0,1,5.0,5,0.05,4,1.0,1125,3304.0,9.603320437629941,978969,1,92.22376342780093,0.0,0.0,0.0,1.791759469228055,1,3,0,0,0,0,8.103191752285786,65.6617165743124,532.0694801858951,10916416.0,36067838464.0,1.6094379124341003
1732.0,1732.0,Entire rental unit,Khlong Toei,1.0,2,5.0,3,0.02,2,1.0,3,4140.0,12.786563876331678,118118,4,163.4962157635102,0.6931471805599453,0.4804530139182014,0.0,1.3862943611198906,1,2,0,0,0,0,8.328692583545568,69.36712015120695,577.7374191452716,17139600.0,70957944000.0,1.6094379124341003
1176.0,1176.0,Entire rental unit,Bang Rak,1.0,2,4.14,63,0.47,7,1.0,365,3988.0,4.214018027126928,156583,4,17.757947932950724,0.6931471805599453,0.4804530139182014,0.0,4.1588830833596715,2,3,0,0,0,0,8.291295851905407,68.7455869038238,569.9899995324769,15904144.0,63425726272.0,1.4206957878372228
2701.0,2701.0,Entire rental unit,Bang Rak,1.0,4,4.7,104,0.89,30,2.0,1125,3489.0,4.683865685954678,1019241,16,21.938597764063687,1.3862943611198906,1.9218120556728056,0.6931471805599453,4.653960350157523,2,3,0,0,0,0,8.157657015196472,66.54736797758422,542.870603225201,12173121.0,42472019169.0,1.547562508716013
